时间  类别编号  类别名称  产品编号  产品名称  销量  收入  成本  
1010  20000  洗发水200ML  47665385  去屑洗发露200克  30  288.75  262.548  
1010  20000  洗发水200ML  47665403  清威绿茶清爽去屑洗发露230ml  2  20  18.194  
1010  20000  洗发水200ML  47665409  去油清爽洗发水200ml  36  486  398.209  
1010  20000  洗发水200ML  47665410  长效去屑洗发水200ml  50  676.25  553.088  
1010  20000  洗发水200ML  47665411  丝丝柔顺洗发水200ml  112  1135  1238.972  
1010  20000  洗发水200ML  47665415  芦荟保湿洗发露200ml  18  255.75  239.733  
1010  20000  洗发水200ML  47665456  去屑滋润洗发露200克  190  2708  2968.787  
1010  20000  洗发水200ML  47665457  营养焗油洗发露200克  96  1615.75  1500.028  
1010  20000  洗发水200ML  47665527  焗油洗发露280ml  54  1269  1079.968  
1010  20000  洗发水200ML  47665528  营养洗发露280ml  84  1974  1680.003  
1010  20000  洗发水200ML  47665529  去屑洗发露中油280ml  122  3019.5  2561.978  
1010  20000  洗发水200ML  47665530  去屑洗发露中干280ml  36  891  756.025  
1010  20000  洗发水200ML  47665533  维他全效洗发水200克  34  365.5  318.269  
1010  20000  洗发水200ML  47665547  家庭兰花清爽去屑洗发露200ml  830  9260.75  7582.01  
1010  20000  洗发水200ML  47665549  家庭兰花清爽水润洗发露200ml  226  2687.5  2225.983  
1010  20000  洗发水200ML  47665551  家庭绿茶清爽去油洗发露200ml  790  9458  7606.638  
1010  20000  洗发水200ML  47665553  香去屑止痒洗发露200ml  24  307.5  315.783  
1010  20000  洗发水200ML  47665554  香柔顺营养洗发露200ml  34  431.5  450.509  
1010  20000  洗发水200ML  47665596  焗油保湿洗发露200ml  4  64  47.999  
1010  20000  洗发水200ML  47665616  去屑止痒洗发水200ml  72  1332  1091.698  
1010  20000  洗发水200ML  47665617  焗油柔亮洗发水200ml  46  851  697.437  
1010  20000  洗发水200ML  47665618  营养保湿洗发水200ml  92  1702  1394.991  
1010  20000  洗发水200ML  47665663  专业去屑洗发水200ml  30  604  498.8  
1010  20000  洗发水200ML  47665694  乌发快洗发液200ml  48  2724.75  2285.01  
1010  20000  洗发水200ML  47665706  润黑局油洗发露200ml  4  67.5  58.675  
1010  20000  洗发水200ML  47665741  营养保湿袋装洗发水8ml  84  51.125  38.844  
1010  20000  洗发水200ML  47665742  去屑止痒袋装洗发水8ml  -4  -3.625  -1.839  
1010  20000  洗发水200ML  47665780  璐草本精华均衡滋润洗发露175ml  6  106.5  96.759  
1010  20000  洗发水200ML  47665788  璐草本精华去屑洗发露175  16  284  257.985  
1010  20000  洗发水200ML  47665794  璐草本精华柔亮长发洗发露175ml  14  248.5  225.751  
1010  20000  洗发水200ML  47665806  水凝彩护洗发露200ml  146  3702  3435.851  
1010  20000  洗发水200ML  47665807  深层水养洗发露200ML  222  5654.25  5215.333  
1010  20000  洗发水200ML  47665808  均衡水润洗发露200ML  74  1866.75  1736.104  
1010  20000  洗发水200ML  47665809  局油去屑洗发露200ML  164  4214.25  3852.05  
1010  20000  洗发水200ML  47665810  水晶洁净洗发露200ML  28  706.5  654.673  
1010  20000  洗发水200ML  47665811  垂坠感洗发露200ML  90  2328.75  2118.373  
1010  20000  洗发水200ML  47665829  果油清爽柔亮洗发露200ml  2  32  26.237  
1010  20000  洗发水200ML  47665843  丝质顺滑洗发露200ml  504  10862.5  9413.033  
1010  20000  洗发水200ML  47665844  弹性丰盈洗发露200ml  154  3535  3196.996  
1010  20000  洗发水200ML  47665846  乌黑莹亮洗发露200ml  198  4538.25  4075.666  
1010  20000  洗发水200ML  47665847  乳液修复洗发露200ml  798  16393.25  14704.885  
1010  20000  洗发水200ML  47665848  莹彩深层修护洗发露200ml  120  2733  2480.312  
1010  20000  洗发水200ML  47665849  日光护理洗发露200ml  52  1197  1068.21  
1010  20000  洗发水200ML  47665850  倍直垂顺洗发露200ml  170  4016.25  3555.133  
1010  20000  洗发水200ML  47665868  家庭杏仁滋养护理洗发露200ML  276  3326  2707.439  
1010  20000  洗发水200ML  47665869  家庭茶树滋养去屑洗发露200ML  462  5586.5  4104.945  
1010  20000  洗发水200ML  47665872  滋养防掉发洗发露200ML  192  4404.5  3937.313  
1010  20000  洗发水200ML  47665887  去屑洗发水235ml  180  4022.5  3460.992  
1010  20000  洗发水200ML  47665911  丝轻柔呵护洗发露200ml  174  4431.25  4020.296  
1010  20000  洗发水200ML  47665912  丝水润滋养洗发露200ml  320  8187.25  7655.694  
1010  20000  洗发水200ML  47665920  丝丝质柔滑洗发露200ml  894  21322.5  20124.894  
1010  20000  洗发水200ML  47665921  丝怡神舒爽洗发露200ml  680  16026.525  14510.954  
1010  20000  洗发水200ML  47665922  丝深层洁净洗发露200ml  316  8091.5  7601.168  
1010  20000  洗发水200ML  47665923  清爽控油洗发露200ml  172  4405.25  4054.099  
1010  20000  洗发水200ML  47665924  丝莹采乌黑洗发露200ml  330  8447.25  7803.871  
1010  20000  洗发水200ML  47665925  丝海洋活力洗发露200ml  248  6353.5  5751.925  
1010  20000  洗发水200ML  47665937  焗油护理洗发露200ml  546  8458.25  8631.441  
1010  20000  洗发水200ML  47665938  维他命长发洗发露200ml  154  2721.75  2530.798  
1010  20000  洗发水200ML  47665939  滋润去屑洗发露200ml  2208  31226.25  31549.05  
1010  20000  洗发水200ML  47665940  焗油去屑洗发露200ml  128  2299.75  2095.113  
1010  20000  洗发水200ML  47665941  温泉头皮护理洗发露200ml  80  1424  1315.805  
1010  20000  洗发水200ML  47665942  人参滋养洗发露200ml  592  9212.75  9275.965  
1010  20000  洗发水200ML  47665943  多效护理洗发露200ml  112  1978.5  1839.679  
1010  20000  洗发水200ML  47665944  莲荷清凉洗发露200ml  58  1013.75  944.365  
1010  20000  洗发水200ML  47665945  首乌黑亮洗发露200ml  180  3237.25  2938.981  
1010  20000  洗发水200ML  47665946  鲜果防毛燥洗发露200ml  120  2127  1962.178  
1010  20000  洗发水200ML  47665947  鲜果去屑洗发露200ml  182  3267.5  2984.202  
1010  20000  洗发水200ML  47665980  乳霜滋养洗发露（珍珠黑亮）200ml  8  160  108.313  
1010  20000  洗发水200ML  47665985  洗发润发套装（200发水+200精华  8  199  159.208  
1010  20000  洗发水200ML  47665999  青苹果去屑洗发露200ml  2  29.5  24.98  
1010  20000  洗发水200ML  47666001  荔枝柔顺洗发露200ml  4  59  50.017  
1010  20000  洗发水200ML  47666008  橄榄柔顺洗发露200ml  32  440  359.892  
1010  20000  洗发水200ML  47666009  洗发露（去屑止痒）200ml  26  357.5  286.002  
1010  20000  洗发水200ML  47666010  洗发露（营养滋润）200ml  20  275  219.989  
1010  20000  洗发水200ML  47666011  洗发露（柔顺局油）200ml  12  165  132.005  
1010  20000  洗发水200ML  47666026  去屑洗发露200ml  2  39.5  31.59  
1010  20000  洗发水200ML  47666030  柔滑黑亮洗发露200ml  8  130  110.185  
1010  20000  洗发水200ML  47666031  直垂黑亮洗发露200ml  2  34.5  28.489  
1010  20000  洗发水200ML  47666032  修复黑亮洗发露200ml  4  65  55.107  
1010  20000  洗发水200ML  47666050  草本长效去屑洗发露200ml  20  440  382.502  
1010  20000  洗发水200ML  47666051  草本柔顺去屑洗发露200ml  6  132  114.748  
1010  20000  洗发水200ML  47666052  草本局油去屑洗发露200ml  8  176  153.007  
1010  20000  洗发水200ML  47666053  草本营养去屑洗发露200ml  12  264  229.466  
1010  20000  洗发水200ML  47666061  水润丝滑洗发乳200ml  354  7764.75  6482.853  
1010  20000  洗发水200ML  47666062  新活炫亮洗发乳200ml  124  2962.75  2270.871  
1010  20000  洗发水200ML  47666063  炫色激情洗发乳200ml  42  985.75  792.236  
1010  20000  洗发水200ML  47666064  清新动感洗发乳200ml  18  434.25  329.969  
1010  20000  洗发水200ML  47666065  纯净去屑洗发乳200ml  364  8551.25  6626.679  
1010  20000  洗发水200ML  47666076  汉方飘长真魅洗发乳200ml  20  442.5  367  
1010  20000  洗发水200ML  47666098  丝质顺滑去屑洗发水200ml  336  7936.25  6799.25  
1010  20000  洗发水200ML  47666100  乳液修复去屑洗发水200ml  144  3342.5  3001.986  
1010  20000  洗发水200ML  47666103  营养防脱发3合1洗发露200ml  128  1926  1600.004  
1010  20000  洗发水200ML  47666105  植物派柔润亮泽洗发水200ml  12  177.5  155.99  
1010  20000  洗发水200ML  47666108  丰盈弹性洗发露200ml  12  153  129.022  
1010  20000  洗发水200ML  47666110  柔亮护色洗发露200ml  28  357  300.983  
1010  20000  洗发水200ML  47666112  去屑止痒洗发露200ml  20  285  242.424  
1010  20000  洗发水200ML  47666114  倍感垂顺洗发露200ml  50  371  322.686  
1010  20000  洗发水200ML  47666115  营养亮泽洗发露200ml  66  460.25  402.012  
1010  20000  洗发水200ML  47666116  深层局油洗发露200ml  58  412.75  359.044  
1010  20000  洗发水200ML  47666120  草本去屑洗发露清爽型200ML  10  220  191.207  
1010  20000  洗发水200ML  47666125  璐果萃鲜亮杨桃洗发露175ml  6  106.5  96.759  
1010  20000  洗发水200ML  47666127  璐果萃清新奇异果洗发露175ml  6  106.5  96.759  
1010  20000  洗发水200ML  47666138  洗发露260ml  130  2009.25  1704.31  
1010  20000  洗发水200ML  47666184  深层养护洗发露200ML  70  945  722.738  
1010  20000  洗发水200ML  47666187  旅行便携装  792  9795.5  8898.779  
1010  20000  洗发水200ML  47666192  谜炫深棕洗发乳200ML  4  107.5  84.24  
1010  20000  洗发水200ML  47666193  炫舞酒红洗发乳200ML  4  107.5  90.119  
1010  20000  洗发水200ML  47666194  真魅莹黑洗发乳200ML  2  53.75  45.045  
1010  20000  洗发水200ML  47666209  盈润卷发洗发露200ml  74  1319  1209.166  
1010  20000  洗发水200ML  47666216  发膜纯养洗发露200ml  104  2078.25  1866.589  
1010  20000  洗发水200ML  47666218  发膜纯养去屑型洗发露200ml  60  1234.25  1076.868  
1010  20000  洗发水200ML  47666246  清爽均衡中草药洗发露200ml  4  116  98.485  
1010  20000  洗发水200ML  47666248  焗油修护中草药洗发露200ml  2  58  49.257  
1010  20000  洗发水200ML  47666249  滋润顺滑中草药洗发露200ml  2  58  49.228  
1010  20000  洗发水200ML  47666256  强韧深层修复洗发乳200ml  42  1025.25  853.427  
1010  20000  洗发水200ML  47666257  魅卷深层修复洗发乳200ml  48  1192.5  954.72  
1010  20000  洗发水200ML  47666258  无屑深层修复洗发乳200ml  16  402  321.692  
1010  20000  洗发水200ML  47666268  水225ml  104  1647  1364.337  
1010  20000  洗发水200ML  47666273  200克  62  891.25  775.037  
1010  20000  洗发水200ML  47666276  润洗发露+护发素  2  82.5  67.509  
1010  20000  洗发水200ML  47666277  专业去屑洗发露200克  110  1760  1496.021  
1010  20000  洗发水200ML  47666278  局油柔顺洗发露200克  68  1088  924.856  
1010  20000  洗发水200ML  47666286  男士去屑洗发露健将黑亮型200ml  168  4665  3729.55  
1010  20000  洗发水200ML  47666307  去屑洗发露冰爽劲酷型200ml  70  1878.75  1558.733  
1010  20000  洗发水200ML  47666308  去屑洗发露深度滋养型200ml  126  3453.75  2806.567  
1010  20000  洗发水200ML  47666309  去屑洗发露染后修护型200ml  78  2103.75  1738.795  
1010  20000  洗发水200ML  47666310  去屑洗发露多效水润养护型200ml  86  2413.75  1909.177  
1010  20000  洗发水200ML  47666311  去屑洗发露深度洁净型200ml  98  2756.25  2175.557  
1010  20000  洗发水200ML  47666312  去屑洗发露控油平衡型200ml  114  3146.25  2530.739  
1010  20000  洗发水200ML  47666313  去屑洗发露韧发防落型200ml  134  3750.2  2974.725  
1010  20000  洗发水200ML  47666314  男士去屑洗发露多效水润养护型200m  142  3853.075  3152.36  
1010  20000  洗发水200ML  47666315  男士去屑洗发露活力运动型200ml  144  3852.5  3196.733  
1010  20000  洗发水200ML  47666317  迷炫深棕试用装套餐  54  729  654.732  
1010  20000  洗发水200ML  47666320  强韧深层洗发乳200ML+50ML护  4  113.5  94.594  
1010  20000  洗发水200ML  47666349  去屑洗发水200克  8  119  103.019  
1010  20000  洗发水200ML  47666350  洗发水200克  24  333.75  308.958  
1010  20000  洗发水200ML  47666351  柔顺洗发水200克  30  459  412.513  
1010  20000  洗发水200ML  47666352  清爽洗发水200克  36  576  494.969  
1010  20000  洗发水200ML  47666365  草本去屑洗发水200ml  12  147  133.497  
1010  20000  洗发水200ML  47666374  莹亮水润养护型洗发水200ml  76  986  854.89  
1010  20000  洗发水200ML  47666375  清爽洁净型洗发水200ml  92  1198.5  1034.924  
1010  20000  洗发水200ML  47666376  去屑修复型洗发水200ml  66  860.25  742.511  
1010  20000  洗发水200ML  47666383  中药去屑柔亮洗发露200ml  92  1460.5  1264.946  
1010  20000  洗发水200ML  47666391  去屑养护洗发露200ml  30  570  485.638  
1010  20000  洗发水200ML  47666392  营养局油洗发露200ml  4  76  64.76  
1010  20000  洗发水200ML  47666393  染烫修复洗发露200ml  4  76  64.76  
1010  20000  洗发水200ML  47666394  垂坠顺滑洗发露200ml  16  304  259.009  
1010  20000  洗发水200ML  47666400  洗护套装(200+300+50)  2  64.75  54.99  
1010  20000  洗发水200ML  47666401  洗护套装(200+300+50)  2  64.75  55.019  
1010  20000  洗发水200ML  47666419  莉香水洗发露260ml  22  495  412.483  
1010  20000  洗发水200ML  47666420  莉清爽香水洗发露260ml  20  450  374.985  
1010  20000  洗发水200ML  47666430  氧活净肤去屑型洗发露200ml  150  3354  2832.365  
1010  20000  洗发水200ML  47666432  氧活舒缓养发型洗发露200ml  102  2281.5  1939.275  
1010  20000  洗发水200ML  47666434  氧活润肤去屑型洗发露200ml  114  2549.25  2167.396  
1010  20000  洗发水200ML  47666436  易顺爽倍直强韧洗发露200ml  54  931.5  747.806  
1010  20000  洗发水200ML  47666437  易顺爽莹彩深层修护洗发露200ml  38  655.5  65.432  
1010  20000  洗发水200ML  47666438  易顺爽乌黑柔亮洗发露200ml  124  2139  -13373.451  
1010  20000  洗发水200ML  47666439  易顺爽去屑洗发露200ml  100  1725  1013.044  
1010  20000  洗发水200ML  47666444  叶精华水润保湿顺爽控油洗发露20  64  552  437.051  
1010  20000  洗发水200ML  47666445  叶精华水润保湿丝滑柔顺洗发露20  88  759  604.802  
1010  20000  洗发水200ML  47666446  叶精华水润保湿清凉去屑洗发露20  104  897  727.974  
1010  20000  洗发水200ML  47666452  活力去屑SOD局油蜜洗发露220m  6  111.75  89.388  
1010  20000  洗发水200ML  47666453  弹性亮彩SOD局油蜜洗发露220m  6  103.5  78.916  
1010  20000  洗发水200ML  47666454  丝质顺滑SOD局油蜜洗发露220m  18  310.5  240.698  
1010  20000  洗发水200ML  47666455  染汤修复SOD局油蜜洗发露220m  4  69  39.985  
1010  20000  洗发水200ML  47666464  碳乌发去屑洗发露200ml  82  707.25  562.77  
1010  20000  洗发水200ML  47666480  首乌柔顺洗发露200ml  8  96  76.8  
1010  20000  洗发水200ML  47666482  香水去屑止痒洗发露220ml  2  24  19.2  
1010  20000  洗发水200ML  47666500  椰子油柔顺洗发露208克  32  432  360.009  
1010  20000  洗发水200ML  47666501  局油去屑洗发露208克  8  108  90.002  
1010  20000  洗发水200ML  47666515  发膜纯养弹性恒卷洗发露200ml  34  701.25  610.126  
1010  20000  洗发水200ML  47666519  时光损伤修护洗发露267ml  58  2051.25  1789.632  
1010  20000  洗发水200ML  47666520  染烫损伤修护洗发露267ml  52  1852.5  1612.026  
1010  20000  洗发水200ML  47666532  首乌黑亮天然植物洗发露200ml  96  2308  1953.461  
1010  20000  洗发水200ML  47666535  滋补修复洗发精华素200ml  78  1889.25  1598.717  
1010  20000  洗发水200ML  47666538  皂角去屑天然植物洗发露200ml  202  4891.75  4139.723  
1010  20000  洗发水200ML  47666541  滋补盈润洗发精华素200ml  104  2507  2121.678  
1010  20000  洗发水200ML  47666544  天然果萃洗发露200ml  86  1290  1031.998  
1010  20000  洗发水200ML  47666554  炭洗发露230ml  24  504  403.2  
1010  20000  洗发水200ML  47666555  黑亮长效去屑洗发露200ml  76  1305.5  1097.255  
1010  20000  洗发水200ML  47666557  黑亮局油洗局2合1洗发露200ml  124  2134.5  1790.275  
1010  20000  洗发水200ML  47666559  清爽长效去屑洗发露200ml  76  1282.25  1097.197  
1010  20000  洗发水200ML  47666562  养护柔顺洗发露200ml  76  1294.75  1097.255  
1010  20000  洗发水200ML  47666564  控油长效去屑洗发露200ml  80  1371.75  1154.995  
1010  20000  洗发水200ML  47666566  修护局油洗局二合一洗发露200ml  56  957.5  808.529  
1010  20000  洗发水200ML  47666568  多效修护洗发露200ml  38  632.25  548.613  
1010  20000  洗发水200ML  47666570  多效头皮护理去屑洗发露200ml  82  1410  1183.835  
1010  20000  洗发水200ML  47666577  植物精华洗发露200ml  146  2633  2402.068  
1010  20000  洗发水200ML  47666580  新活炫亮洗发乳200ml+新活炫亮护  12  256.5  218.995  
1010  20000  洗发水200ML  47666588  通用控油平衡洗发水200ml+100  4  112.5  88.803  
1010  20000  洗发水200ML  47666589  通用多效水润洗发水200ml+100  16  450  355.212  
1010  20000  洗发水200ML  47666590  汉方草本焗油洗发露200ML  96  1632  1415.993  
1010  20000  洗发水200ML  47666593  汉方草本薄荷清爽洗发露200ML  18  306  265.473  
1010  20000  洗发水200ML  47666595  男士去屑洗发露健发防落型200ml  70  1968.75  1553.994  
1010  20000  洗发水200ML  47666598  去屑润发精华乳韧发防落型200ml  26  678.75  541.096  
1010  20000  洗发水200ML  47666617  滋润去屑洗发露200ML促销装  32  580  527.992  
1010  20000  洗发水200ML  47666633  丝植物净翠洗发露200ml  188  4817.5  4476.976  
1010  20000  洗发水200ML  47666634  男士活力运动型200ml+100ml  48  1350  1065.636  
1010  20000  洗发水200ML  47666635  男士多效水润养护型200ml+100  22  618.75  488.416  
1010  20000  洗发水200ML  47666647  袋水1X8袋  54  216  162.045  
1010  20000  洗发水200ML  47666651  梦纷焗油去屑洗发水230ml  2  28  22.4  
1010  20000  洗发水200ML  47666660  璐远离毛燥二合一洗发露175ml  94  1985.75  1797.764  
1010  20000  洗发水200ML  47666661  露赏心悦色护色亮彩洗发露175ml  78  1634  1480.527  
1010  20000  洗发水200ML  47666664  璐闪烁演绎柔亮盈润洗发露175ml  32  655  598.514  
1010  20000  洗发水200ML  47666667  璐水润派对水润洗发露175ml  88  1859  1682.957  
1010  20000  洗发水200ML  47666670  璐直感诱惑垂直顺滑洗发露175ml  70  1457.75  1325.23  
1010  20000  洗发水200ML  47666673  璐告别脆弱强韧修护洗发露175ml  88  1858.25  1683.016  
1010  20000  洗发水200ML  47666675  璐头屑烦恼去屑洗发露175ml  86  1788.75  1626.797  
1010  20000  洗发水200ML  47666677  璐远离毛燥顺滑贴服洗发露175ml  18  380.25  298.73  
1010  20000  洗发水200ML  47666683  优惠组合装2008  30  1968.75  1535.742  
1010  20000  洗发水200ML  47667322  浓纯焗油营养洗发露200ml  616  10949.5  9848.504  
1010  20000  洗发水200ML  47667325  去屑型浓纯焗油洗发露200ml  130  2712.5  2294.458  
1010  20000  洗发水200ML  47667328  小麦强韧修护洗发露200ml  88  1834.5  1553.234  
1010  20000  洗发水200ML  47667331  蚕丝柔滑垂顺洗发露200ml  296  5996.5  5224.489  
1010  20000  洗发水200ML  47667334  活泉水润保湿洗发露200ml  70  1457.5  1235.549  
1010  20000  洗发水200ML  47667338  汉芳飘长去屑洗发乳200ml  14  298.75  271.44  
1010  20000  洗发水200ML  47667350  垂坠质感洗护促销装  8  505  456.007  
1010  20000  洗发水200ML  47667352  时光损伤修护促销装  10  712.5  620.012  
1010  20000  洗发水200ML  47667353  璐水润派对洗护促销装  14  491.75  455.188  
1010  20000  洗发水200ML  47667354  汉方飘长真魅洗发乳200ml+汉方发  18  431.25  328.536  
1010  20000  洗发水200ML  47667355  新活炫亮发水200ml+l汉方发水5  120  2889.5  2189.959  
1010  20000  洗发水200ML  47667356  纯净去屑洗发乳200ml+汉方发水5  146  3502.5  2664.499  
1010  20000  洗发水200ML  47667357  水润丝滑洗发乳200ml+汉方发水5  124  2987.75  2262.985  
1010  20000  洗发水200ML  47667364  0年润发清新去屑调理洗发露200克  132  2953.5  2474.959  
1010  20000  洗发水200ML  47667366  0年润发柔亮去屑调理洗发露200克  244  5459.5  4520.032  
1010  20000  洗发水200ML  47667369  0年润发盈润去屑调理洗发露200克  166  3714.25  3112.522  
1010  20000  洗发水200ML  47667371  0年润发水润丝滑调理洗发露200克  1704  33075  30754.464  
1010  20000  洗发水200ML  47667374  0年润发盈动垂顺调理洗发露200克  178  3982.75  3337.483  
1010  20000  洗发水200ML  47667376  0年润发魅黑闪亮调理洗发露200克  136  3043  2549.986  
1010  20000  洗发水200ML  47667378  0年润发强韧养发调理洗发露200克  204  4564.5  3819.962  
1010  20000  洗发水200ML  47667381  0年润发护色炫彩调理洗发露200克  58  1297.75  1087.486  
1010  20000  洗发水200ML  47667383  0年润发深度修护调理洗发露200克  134  2998.25  2512.517  
1010  20000  洗发水200ML  47667385  0年润发清爽调理洗发露(专为男士设计  234  5235.75  4387.5  
1010  20000  洗发水200ML  47667386  0年润发清爽调理洗发露(专为男士设计  92  3507.5  2921.053  
1010  20000  洗发水200ML  47667387  u我的样子(就是不屑)洗发露  24  597  501.053  
1010  20000  洗发水200ML  47667388  u我的样子(就是不屑)洗发露  4  169.5  141.512  
1010  20000  洗发水200ML  47667389  u我的样子(乖乖垂顺)洗发露  18  447.75  375.745  
1010  20000  洗发水200ML  47667390  u我的样子(乖乖垂顺)洗发露  8  339  283.023  
